Overpotential,Ln(k)
-15.3625498,-5.662921348
-14.59760956,-5.721910112
-13.80079681,-5.814606742
-13.00398406,-5.882022472
-12.23904382,-5.974719101
-11.44223108,-6.058988764
-10.67729084,-6.126404494
-9.848605578,-6.261235955
-9.083665339,-6.345505618
-8.3187251,-6.412921348
-7.61752988,-6.438202247
-6.788844622,-6.539325843
-6.119521912,-6.800561798
-5.418326693,-6.926966292
-4.653386454,-7.255617978
-3.920318725,-7.483146067
-3.123505976,-7.693820225
-2.454183267,-8.165730337
-1.721115538,-8.957865169
2.358565737,-7.483146067
3.187250996,-7.154494382
3.920318725,-6.884831461
4.749003984,-6.505617978
5.482071713,-6.244382022
6.278884462,-6.075842697
7.043824701,-5.873595506
7.77689243,-5.806179775
8.605577689,-5.688202247
9.402390438,-5.570224719
10.16733068,-5.502808989
10.96414343,-5.292134831
11.72908367,-5.359550562
12.55776892,-5.292134831
13.32270916,-5.18258427
14.05577689,-5.056179775
